measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,201,Burkina Faso,3,Both,22,All ages,294,All causes,1,Number,2019,201813.632253061,235540.04750822583,176493.78770445782
1,Deaths,175,Burundi,3,Both,22,All ages,294,All causes,1,Number,1997,118124.87671986267,130199.84732181228,106860.764269641
1,Deaths,203,Cabo Verde,3,Both,22,All ages,294,All causes,1,Number,2018,3530.182686770264,3834.071562638122,3262.742985168985
1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,1,Number,1994,115372.52576665906,123074.9061173017,107200.01311892692
1,Deaths,202,Cameroon,3,Both,22,All ages,294,All causes,1,Number,2014,223643.4754396501,258700.0603270932,193224.68153465723
1,Deaths,101,Canada,3,Both,22,All ages,294,All causes,1,Number,2019,288192.8506997619,291771.01729216665,284804.567257505
1,Deaths,169,Central African Republic,3,Both,22,All ages,294,All causes,1,Number,2014,77136.22674082819,92061.57869976493,64749.0632831418
1,Deaths,204,Chad,3,Both,22,All ages,294,All causes,1,Number,2019,156649.08865845538,182081.24382092865,136454.3916146577
1,Deaths,98,Chile,3,Both,22,All ages,294,All causes,1,Number,2019,113085.51883913552,116350.54717850726,110090.70864145084
1,Deaths,6,China,3,Both,22,All ages,294,All causes,1,Number,2019,10653448.031426173,12069759.947339332,9310978.431924906
1,Deaths,125,Colombia,3,Both,22,All ages,294,All causes,1,Number,2019,246679.0803230772,306056.2569930721,197926.61448338305
1,Deaths,176,Comoros,3,Both,22,All ages,294,All causes,1,Number,1996,5705.762422589443,6378.72376064651,5007.549037052545
1,Deaths,170,Congo,3,Both,22,All ages,294,All causes,1,Number,1997,49271.50721866453,55415.62201167469,43624.97255671847
1,Deaths,320,Cook Islands,3,Both,22,All ages,294,All causes,1,Number,2019,165.4103762439038,192.8162503730265,144.42897529133688
